id,actorName,actorRole,action,target,ipAddress,createdAt
"69c10cec6ffe9cad36483f4f","System Admin","admin","USER_DEACTIVATED","David Muthoni (driver5@smartroad.com)","192.168.1.10","2026-03-23T05:55:17.487Z"
"69c10cec6ffe9cad36483f4a","System Admin","admin","USER_DELETED","David Muthoni (driver5@smartroad.com)","192.168.1.15","2026-03-22T19:00:55.653Z"
"69c10cec6ffe9cad36483f44","System Admin","admin","USER_LOGIN","Fatuma Ali (driver4@smartroad.com)","192.168.1.15","2026-03-22T18:47:21.995Z"
"69c10cec6ffe9cad36483f50","System Admin","admin","INCIDENT_VIEWED","INC-2024-0001","192.168.1.15","2026-03-21T20:24:42.131Z"
"69c10cec6ffe9cad36483f47","System Admin","admin","USER_DEACTIVATED","Grace Wanjiku (driver2@smartroad.com)","196.201.214.8","2026-03-21T19:55:14.044Z"
"69c10cec6ffe9cad36483f42","Dr. James Mwangi","hospital","USER_DELETED","Grace Wanjiku (driver2@smartroad.com)","127.0.0.1","2026-03-21T10:37:41.990Z"
"69c10cec6ffe9cad36483f57","Dr. James Mwangi","hospital","USER_DEACTIVATED","Samuel Otieno (driver3@smartroad.com)","10.0.0.5","2026-03-21T08:18:41.923Z"
"69c10cec6ffe9cad36483f4c","System Admin","admin","USER_LOGIN","Grace Wanjiku (driver2@smartroad.com)","41.90.64.12","2026-03-21T07:52:02.943Z"
"69c10cec6ffe9cad36483f55","System Admin","admin","USER_UPDATED","John Kamau (driver1@smartroad.com)","192.168.1.10","2026-03-21T06:51:30.505Z"
"69c10cec6ffe9cad36483f3f","Dr. James Mwangi","hospital","USER_DEACTIVATED","Fatuma Ali (driver4@smartroad.com)","10.0.0.5","2026-03-20T23:54:49.477Z"
"69c10cec6ffe9cad36483f41","System Admin","admin","EXPORT_CREATED","audit_log CSV export","196.201.214.8","2026-03-20T18:21:12.520Z"
"69c10cec6ffe9cad36483f3e","System Admin","admin","USER_ACTIVATED","Samuel Otieno (driver3@smartroad.com)","192.168.1.15","2026-03-20T16:43:35.783Z"
"69c10cec6ffe9cad36483f3c","Dr. James Mwangi","hospital","USER_LOGIN","John Kamau (driver1@smartroad.com)","127.0.0.1","2026-03-20T10:52:57.224Z"
"69c10cec6ffe9cad36483f51","Dr. James Mwangi","hospital","EXPORT_CREATED","audit_log CSV export","10.0.0.5","2026-03-20T06:22:04.609Z"
"69c10cec6ffe9cad36483f49","System Admin","admin","EXPORT_CREATED","audit_log CSV export","192.168.1.10","2026-03-20T00:49:56.473Z"
"69c10cec6ffe9cad36483f52","System Admin","admin","USER_DELETED","Samuel Otieno (driver3@smartroad.com)","41.90.64.12","2026-03-19T13:02:09.884Z"
"69c10cec6ffe9cad36483f4b","Dr. James Mwangi","hospital","DASHBOARD_VIEWED","Admin Panel","10.0.0.5","2026-03-19T11:11:27.295Z"
"69c10cec6ffe9cad36483f45","Dr. James Mwangi","hospital","USER_UPDATED","David Muthoni (driver5@smartroad.com)","10.0.0.5","2026-03-19T06:30:44.661Z"
"69c10cec6ffe9cad36483f54","Dr. James Mwangi","hospital","USER_LOGIN","David Muthoni (driver5@smartroad.com)","127.0.0.1","2026-03-18T23:31:39.692Z"
"69c10cec6ffe9cad36483f56","System Admin","admin","USER_ACTIVATED","Grace Wanjiku (driver2@smartroad.com)","192.168.1.15","2026-03-18T17:55:06.859Z"
"69c10cec6ffe9cad36483f4d","System Admin","admin","USER_UPDATED","Samuel Otieno (driver3@smartroad.com)","196.201.214.8","2026-03-18T11:24:49.457Z"
"69c10cec6ffe9cad36483f53","System Admin","admin","DASHBOARD_VIEWED","Admin Panel","196.201.214.8","2026-03-18T04:45:54.448Z"
"69c10cec6ffe9cad36483f46","System Admin","admin","USER_ACTIVATED","John Kamau (driver1@smartroad.com)","41.90.64.12","2026-03-18T01:16:31.348Z"
"69c10cec6ffe9cad36483f3d","System Admin","admin","USER_UPDATED","Grace Wanjiku (driver2@smartroad.com)","192.168.1.10","2026-03-17T20:51:20.382Z"
"69c10cec6ffe9cad36483f40","System Admin","admin","INCIDENT_VIEWED","INC-2024-0005","41.90.64.12","2026-03-17T14:33:01.685Z"
"69c10cec6ffe9cad36483f59","System Admin","admin","EXPORT_CREATED","audit_log CSV export","196.201.214.8","2026-03-17T03:13:57.109Z"
"69c10cec6ffe9cad36483f58","System Admin","admin","INCIDENT_VIEWED","INC-2024-0009","41.90.64.12","2026-03-17T02:19:38.734Z"
"69c10cec6ffe9cad36483f43","System Admin","admin","DASHBOARD_VIEWED","Admin Panel","192.168.1.10","2026-03-16T22:40:50.791Z"
"69c10cec6ffe9cad36483f48","Dr. James Mwangi","hospital","INCIDENT_VIEWED","INC-2024-0013","127.0.0.1","2026-03-16T16:07:49.994Z"
"69c10cec6ffe9cad36483f4e","Dr. James Mwangi","hospital","USER_ACTIVATED","Fatuma Ali (driver4@smartroad.com)","127.0.0.1","2026-03-16T10:07:55.924Z"
